year,make,model,hpv,Efficiency_km/L
2016,Ford,Fusion FWD,0,11.053736382
2016,Ford,Fusion FWD,0,11.053736382
2016,Ford,Fusion Hybrid FWD,0,17.430891987
2016,Lincoln,MKZ Hybrid FWD,0,17.00574828
2016,Lincoln,MKZ AWD,0,10.628592675
2016,Lincoln,MKZ FWD,0,11.053736382
2016,Lincoln,MKZ FWD,0,8.928017847
2016,Lincoln,MKZ AWD,0,8.50287414
2016,Mercedes-Benz,E400,0,9.778305261
2016,Mercedes-Benz,E400 4matic,0,9.353161554
2016,Mazda,MX-5,0,12.75431121
2016,Mazda,MX-5,0,12.75431121
2016,Porsche,911 GT3,0,7.227443019
2016,Porsche,911 GT3 RS,0,7.227443019
2016,Porsche,911 Targa 4S,0,8.928017847
2016,Porsche,911 Targa 4S,0,8.928017847
2016,Porsche,911 Targa 4 GTS,0,8.928017847
2016,Porsche,911 Targa 4 GTS,0,8.928017847
2016,Mercedes-Benz,E550 Coupe,0,8.928017847
2016,Mercedes-Benz,E550 Convertible,0,8.50287414
2016,Mercedes-Benz,E350,0,9.778305261
2016,Mercedes-Benz,E350 4matic,0,9.778305261
2016,Mercedes-Benz,E350,0,9.778305261
2016,Mercedes-Benz,E350 4matic,0,9.778305261
2016,Mercedes-Benz,AMG E63 4matic,0,8.077730433
2016,Mercedes-Benz,AMG E63 S 4matic,0,7.652586726
2016,Mercedes-Benz,Maybach S 600,0,6.377155605
2016,Mercedes-Benz,E350 4matic (wagon),0,9.353161554
2016,Mercedes-Benz,AMG E63 S 4matic (wagon),0,7.652586726
2016,Porsche,Cayenne Turbo,0,7.227443019
2016,Porsche,Cayenne Turbo S,0,6.802299312
2016,Lamborghini,Aventador Coupe,0,5.526868191
2016,Lamborghini,Aventador Roadster,0,5.101724484
2016,Mercedes-Benz,AMG GT S,0,7.652586726
2016,Scion,FR-S,0,11.904023795999999
2016,Scion,FR-S,0,10.203448968
2016,Toyota,Yaris,85,13.604598624
2016,Toyota,Yaris,85,14.029742331
2016,Mercedes-Benz,E550 4matic,0,8.928017847
2016,Fiat,500 X,0,11.904023795999999
2016,Fiat,500 X,0,10.628592675
2016,BMW,M235i Convertible,0,10.203448968
2016,BMW,435i Convertible,0,9.778305261
2016,Maserati,GranTurismo,0,6.802299312
2016,Maserati,GranTurismo Convertible,0,6.377155605
2016,BMW,535i,0,9.778305261
2016,Hyundai,Santa Fe Sport FWD,0,9.778305261
2016,Hyundai,Santa Fe Sport FWD,0,9.353161554
2016,Hyundai,Santa Fe Sport Ultimate FWD,0,9.353161554
2016,Infiniti,QX70 RWD,0,8.077730433
2016,Hyundai,Santa Fe Sport AWD,0,8.928017847
2016,Hyundai,Santa Fe Sport AWD,0,8.50287414
2016,Infiniti,QX70 AWD,0,7.652586726
2016,Kia,Forte Koup,0,10.628592675
2016,Kia,Forte Koup,0,10.203448968
2016,Kia,Forte Koup,0,11.904023795999999
2016,Kia,Forte Koup,0,11.478880088999999
2016,Mazda,CX-3 2WD,88,13.179454917
2016,Mazda,CX-3 4WD,88,12.329167502999999
2016,Volvo,S60 AWD,0,8.928017847
2016,Volvo,S60 Inscription AWD,0,9.778305261
2016,Volvo,S60 AWD,0,9.778305261
2016,Volvo,S60 FWD,0,12.75431121
2016,Volvo,S60 FWD,0,11.478880088999999
2016,Volvo,S60 PoleStar AWD,0,8.928017847
2016,Jaguar,XJ AWD,0,8.50287414
2016,Jaguar,XJL AWD,0,8.50287414
2016,Kia,Forte 5,98,10.203448968
2016,Kia,Forte 5,98,10.203448968
2016,Kia,Forte 5,98,11.904023795999999
2016,Kia,Soul ECO dynamics,0,11.053736382
2016,Kia,Soul,0,11.478880088999999
2016,Kia,Soul,0,11.053736382
2016,Kia,Soul,0,11.053736382
2016,Volvo,V60 AWD,0,9.778305261
2016,Volvo,V60 AWD,0,8.928017847
2016,Volvo,V60 PoleStar AWD,0,8.928017847
2016,Volvo,XC60 FWD,0,11.053736382
2016,Volvo,XC70 FWD,0,11.053736382
2016,Volvo,XC60 FWD,0,10.203448968
2016,Fiat,500 X AWD,0,10.203448968
2016,Volvo,XC60 AWD,0,8.50287414
2016,Volvo,XC70 AWD,0,8.928017847
2016,Volvo,XC60 AWD,0,8.928017847
2016,Volvo,V60 CC AWD,0,9.778305261
2016,Volvo,S60 CC AWD,0,9.778305261
2016,Ford,Fusion Energi Plug-in Hybrid,0,16.155460866
2016,Porsche,Boxster S,0,9.353161554
2016,Porsche,Boxster Spyder,0,8.50287414
2016,Porsche,Cayman GT4,0,8.50287414
2016,Porsche,911 Carrera,0,9.353161554
2016,Porsche,911 Carrera,0,9.778305261
2016,Porsche,911 Carrera Cabriolet,0,9.353161554
2016,Porsche,911 Carrera Cabriolet,0,9.778305261
2016,Porsche,911 Carrera S,0,9.353161554
2016,Porsche,911 Carrera S,0,9.353161554
2016,Porsche,911 Carrera S Cabriolet,0,9.353161554
2016,Porsche,911 Carrera S Cabriolet,0,9.353161554
2016,Porsche,911 Carrera 4,0,9.353161554
2016,Porsche,911 Carrera 4,0,9.778305261
2016,Porsche,911 Carrera 4 Cabriolet,0,8.928017847
2016,Porsche,911 Carrera 4 Cabriolet,0,9.353161554
2016,Porsche,911 Carrera 4S,0,8.928017847
2016,Porsche,911 Carrera 4S,0,9.353161554
2016,Porsche,911 Carrera 4S Cabriolet,0,8.928017847
2016,Porsche,911 Carrera 4S Cabriolet,0,8.928017847
2016,Porsche,911 Carrera GTS,0,8.928017847
2016,Porsche,911 Carrera GTS,0,8.928017847
2016,Porsche,911 Carrera GTS Cabriolet,0,8.50287414
2016,Porsche,911 Carrera GTS Cabriolet,0,8.928017847
2016,Porsche,911 Carrera 4 GTS,0,8.928017847
2016,Porsche,911 Carrera 4 GTS,0,8.928017847
2016,Porsche,911 Carrera 4 GTS Cabriolet,0,8.50287414
2016,Porsche,911 Carrera 4 GTS Cabriolet,0,8.928017847
2016,Porsche,911 Turbo,0,8.50287414
2016,Porsche,911 Turbo S,0,8.50287414
2016,Porsche,911 Targa 4,0,8.928017847
2016,Porsche,911 Targa 4,0,9.353161554
2016,Bentley,Continental GT Convertible,0,6.802299312
2016,Bentley,Continental GT,0,7.652586726
2016,Volvo,S60 Inscription FWD,0,12.329167502999999
2016,Bentley,Flying Spur,0,7.227443019
2016,Kia,Forte,0,12.329167502999999
2016,Kia,Forte,0,11.904023795999999
2016,Maserati,Ghibli V6 SQ4,0,8.077730433
2016,Maserati,Ghibli V6,0,8.077730433
2016,Nissan,Maxima,0,10.628592675
2016,Volvo,S80 FWD,0,12.329167502999999
2016,Maserati,Quattroporte GTS,0,7.227443019
2016,Maserati,Quattroporte SQ4 V6,0,7.652586726
2016,Volvo,V60 FWD,0,12.329167502999999
2016,Hyundai,Tucson FWD,0,11.053736382
2016,Lincoln,MKX FWD,0,8.50287414
2016,Lincoln,MKX FWD,0,8.50287414
2016,Hyundai,Tucson AWD,0,9.778305261
2016,Lincoln,MKX AWD,0,8.077730433
2016,Lincoln,MKX AWD,0,8.077730433
2016,Ford,Explorer 2WD FFV,0,8.50287414
2016,Ford,Explorer FWD,0,8.50287414
2016,Ford,Explorer FWD,0,9.353161554
2016,Ford,Explorer AWD FFV,0,8.077730433
