Year,Oil_Price_Avg_Yearly_USD
2016,57.71846153846154
2017,54.46882113821138
2018,53.53910931174089
2019,53.11983870967742
2020,46.46470119521912
2021,54.487096774193546
2022,71.0382258064516
2023,69.77557768924302
2024,71.17333333333333
2025,70.03734375
